"Event ID","Event Identity","Number Of Rowers","Sculling Status","Coxed Status","Event Gender","Event Type","Age Restriction","Sub Category","Event Info","Notes","Fee","Override Name","Previous Event ID",
"100603","MasA.8+","63","N","Y","Open","Master","27","MasA","","","92","","",
"100604","MasB.8+","63","N","Y","Open","Master","36","MasB","","","92","","",
"100605","MasC.8+","225","N","Y","Open","Master","43","MasC","","","92","","",
"100606","MasD.8+","171","N","Y","Open","Master","50","MasD","","","92","","",
"100607","MasE.8+","234","N","Y","Open","Master","55","MasE","","","92","","",
"100608","MasF.8+","117","N","Y","Open","Master","60","MasF","","","92","","",
"100609","MasG.8+","45","N","Y","Open","Master","65","MasG","","","92","","",
"100610","MasH.8+","45","N","Y","Open","Master","70","MasH","","","92","","",
"100611","MasI.8+","0","N","Y","Open","Master","75","MasI","","","92","","",
"100612","MasJ.8+","0","N","Y","Open","Master","80","MasJ","","","92","","",
"100613","MasK.8+","0","N","Y","Open","Master","85","MasK","","","92","","",
"100614","W.MasA.8+","45","N","Y","Female","Master","27","MasA","","","92","","",
"100615","W.MasB.8+","18","N","Y","Female","Master","36","MasB","","","92","","",
"100616","W.MasC.8+","99","N","Y","Female","Master","43","MasC","","","92","","",
"100617","W.MasD.8+","144","N","Y","Female","Master","50","MasD","","","92","","",
"100618","W.MasE.8+","63","N","Y","Female","Master","55","MasE","","","92","","",
"100619","W.MasF.8+","36","N","Y","Female","Master","60","MasF","","","92","","",
"100620","W.MasG.8+","0","N","Y","Female","Master","65","MasG","","","92","","",
"100621","W.MasH.8+","0","N","Y","Female","Master","70","MasH","","","92","","",
"100622","W.MasI.8+","0","N","Y","Female","Master","75","MasI","","","92","","",
"100623","W.MasJ.8+","0","N","Y","Female","Master","80","MasJ","","","92","","",
"100624","W.MasK.8+","0","N","Y","Female","Master","85","MasK","","","92","","",
"100625","Mx.MasA.8+","18","N","Y","Mixed","Master","27","MasA","","","92","","",
"100626","Mx.MasB.8+","36","N","Y","Mixed","Master","36","MasB","","","92","","",
"100627","Mx.MasC.8+","45","N","Y","Mixed","Master","43","MasC","","","92","","",
"100628","Mx.MasD.8+","36","N","Y","Mixed","Master","50","MasD","","","92","","",
"100629","Mx.MasE.8+","27","N","Y","Mixed","Master","55","MasE","","","92","","",
"100630","Mx.MasF.8+","18","N","Y","Mixed","Master","60","MasF","","","92","","",
"100631","Mx.MasG.8+","0","N","Y","Mixed","Master","65","MasG","","","92","","",
"100632","Mx.MasH.8+","0","N","Y","Mixed","Master","70","MasH","","","92","","",
"100633","Mx.MasI.8+","0","N","Y","Mixed","Master","75","MasI","","","92","","",
"100634","Mx.MasJ.8+","0","N","Y","Mixed","Master","80","MasJ","","","92","","",
"100635","Mx.MasK.8+","0","N","Y","Mixed","Master","85","MasK","","","92","","",
"100637","8+","9","N","Y","Open","Senior","0","","","For IM2 or lower only - higher rated crews will not be accepted.","92","Op 8+","",
"100639","W.8+","0","N","Y","Female","Senior","0","","","For IM2 or lower only - higher rated crews will not be accepted.","92","W 8+","",
"100641","Mx.8+","9","N","Y","Mixed","Senior","0","","","For IM2 or lower only - higher rated crews will not be accepted.","92","Mx 8+","",
"100642","MasA.8x+","9","Y","Y","Open","Master","27","MasA","","Place holder for novice events - we will split into age categories depending on the number of entries. ","92","Op MasA 8x+","",
"100643","MasA.8+","45","N","Y","Open","Master","27","MasA","","Place holder for novice events - we will split into age categories depending on the number of entries. ","92","Op MasA 8+","",
"100644","W.MasA.8x+","0","Y","Y","Female","Master","27","MasA","","Place holder for novice events - we will split into age categories depending on the number of entries. ","92","W MasA 8x+","",
"100645","W.MasA.8+","54","N","Y","Female","Master","27","MasA","","Place holder for novice events - we will split into age categories depending on the number of entries. ","92","W MasA 8+","",
"100646","Mx.MasA.8x+","9","Y","Y","Mixed","Master","27","MasA","","Place holder for novice events - we will split into age categories depending on the number of entries. ","92","Mx MasA 8x+","",
"100647","Mx.MasA.8+","9","N","Y","Mixed","Master","27","MasA","","Place holder for novice events - we will split into age categories depending on the number of entries. ","92","Mx MasA 8+","",
